OID_,Civil_Count,Food_Count,HealthCare_Count,town,town_id,coast,taz,ES_FLAG,OBJECTID,Civil_Count1,Food_Count1,HealthCare_Count1,town_1,town_id_1,coast_1,taz_1,BUFF_DIST,shape_Length_1,shape_Area_1,ES_FLAG1,Shape_Length,Shape_Area,ES_FLAG_ALL,OBJECTID_12,taz_12,HLTH_COUNT,town_12,ES_COUNT05,HLTH_COUNT05,HIED_COUNT05,shape_Length_12,shape_Area_12,ES_COUNT1,HLTH_COUNT1,HIED_COUNT1,shape_Length_12_13,shape_Area_12_13,HIED_COUNT,ES_DEN_TAZ,ES_DEN_1,ES_DEN_05,ES_COUNT,OBJECTID_1,Join_Count,TARGET_FID,town_12_13,town_id_12,coast_12,objectid_12_13,taz_12_13,ORIG_FID,BUFF_DIST_1,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,URL,NCES_ID,TYPE,NCES_TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,L_SRC,CE_OBJECTID,FID,CE_College,Undergraduate_Enrollment,Graduate_Enrollment,Total_Enrollment,One,Lat,Lng,HIED_ID,shape_Length_12_13_14,shape_Area_12_13_14,HIED_Count5,Shape_Length_12_13_14_15,Shape_Area_12_13_14_15,HLTH_COUNT05m,HIED_COUNT05m,ES_COUNT05m,HLTH_COUNT1m,HIED_COUNT1m,ES_COUNT1m,ES_DEN_05m,ES_DEN_1m
999,0,1,1,BEDFORD,23,N,1422,0,999,0,4,1,BEDFORD,23,N,1422,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,10435.482051621678693,4465007.286381740123034,1,1326,1422,1,BEDFORD,1,1,0,5055.913399325487262,2034180.041791053256020,5,1,0,10111.826798650974524,8136720.167164213024080,,1.160127159561322,1.591549430918954,1.273239544735163,2,999,1,999,BEDFORD,23,N,23,1422,999,8046.736093472188259,National Aviation Academy New England Campus, ,150 Hanscom Drive,Bedford,01730, ,LINCOLN,(781) 274-8448,http://www.naa.edu,165635,PRI,"2-year, Private for-profit",Technical Institute,C,Two but less than 4 years certificate,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Suburb: Large,No,nces.ed.gov,59,GISDATA.COLLEGES_PT.194,National Aviation Academy New England Campus,289,N/A,289,1,42.461502426617351,-71.289980304112163,46-National Aviation Academy New England Campus,50559.133993256335089,203418004.179117113351822,1,10435.482051621678693,4465007.286381740123034,1,0,2,1,0,5,1.160127159561320,1.591549430918950
1000,0,0,0,BEDFORD,23,N,1424,0,1000,0,0,0,BEDFORD,23,N,1424,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,12649.789471359545132,8255283.795748790726066,0,1328,1424,,BEDFORD,0,0,0,5055.913399325487262,2034180.041791053256020,0,0,0,10111.826798650974524,8136720.167164213024080,,0.627474033447303,0.000000000000000,0.000000000000000,2,1000,1,1000,BEDFORD,23,N,23,1424,1000,8046.736093472188259,National Aviation Academy New England Campus, ,150 Hanscom Drive,Bedford,01730, ,LINCOLN,(781) 274-8448,http://www.naa.edu,165635,PRI,"2-year, Private for-profit",Technical Institute,C,Two but less than 4 years certificate,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Suburb: Large,No,nces.ed.gov,59,GISDATA.COLLEGES_PT.194,National Aviation Academy New England Campus,289,N/A,289,1,42.461502426617351,-71.289980304112163,46-National Aviation Academy New England Campus,50559.133993256335089,203418004.179117113351822,1,12649.789471359545132,8255283.795748790726066,0,0,2,0,0,2,0.627474033447303,0.627474033447303
1001,1,2,1,BEDFORD,23,N,1425,1,1001,5,3,4,BEDFORD,23,N,1425,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,5677.929047748020821,1362333.931895357090980,1,1329,1425,1,BEDFORD,5,1,0,5055.913399325487262,2034180.041791053256020,12,2,0,10111.826798650974524,8136720.167164213024080,,11.406842550043431,3.819718634205488,6.366197723675814,6,1001,1,1001,BEDFORD,23,N,23,1425,1001,8046.736093472188259,National Aviation Academy New England Campus, ,150 Hanscom Drive,Bedford,01730, ,LINCOLN,(781) 274-8448,http://www.naa.edu,165635,PRI,"2-year, Private for-profit",Technical Institute,C,Two but less than 4 years certificate,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Suburb: Large,No,nces.ed.gov,59,GISDATA.COLLEGES_PT.194,National Aviation Academy New England Campus,289,N/A,289,1,42.461502426617351,-71.289980304112163,46-National Aviation Academy New England Campus,50559.133993256335089,203418004.179117113351822,1,5677.929047748020821,1362333.931895357090980,1,0,5,2,0,12,6.366197723675810,3.819718634205490
1002,0,1,1,BEDFORD,23,N,1426,0,1002,1,2,4,BEDFORD,23,N,1426,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,6024.795629707559783,1360454.997844593366608,1,1330,1426,,BEDFORD,2,0,0,5055.913399325487262,2034180.041791053256020,7,1,0,10111.826798650974524,8136720.167164213024080,,3.807532207075901,2.228169203286535,2.546479089470326,2,1002,1,1002,BEDFORD,23,N,23,1426,1002,8046.736093472188259,National Aviation Academy New England Campus, ,150 Hanscom Drive,Bedford,01730, ,LINCOLN,(781) 274-8448,http://www.naa.edu,165635,PRI,"2-year, Private for-profit",Technical Institute,C,Two but less than 4 years certificate,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Suburb: Large,No,nces.ed.gov,59,GISDATA.COLLEGES_PT.194,National Aviation Academy New England Campus,289,N/A,289,1,42.461502426617351,-71.289980304112163,46-National Aviation Academy New England Campus,50559.133993256335089,203418004.179117113351822,1,6024.795629707559783,1360454.997844593366608,0,0,2,1,0,7,2.546479089470330,2.228169203286540
1003,5,1,0,LYNNFIELD,164,N,1203,1,1003,5,2,0,LYNNFIELD,164,N,1203,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,9352.559858153368623,3382365.942040236201137,1,1203,1203,,LYNNFIELD,6,0,0,5055.913399325487262,2034180.041791053256020,7,0,0,10111.826798650974524,8136720.167164213024080,,4.594396031654189,2.228169203286535,7.639437268410976,6,1003,1,1003,LYNNFIELD,164,N,164,1203,1003,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,9352.559858153368623,3382365.942040236201137,0,0,6,0,0,7,4.594396031654190,2.228169203286540
1004,0,1,0,PEABODY,229,N,1205,0,1004,1,3,0,PEABODY,229,N,1205,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,6947.337039132808059,2061055.826400568010285,1,1205,1205,,PEABODY,1,0,0,5055.913399325487262,2034180.041791053256020,4,0,0,10111.826798650974524,8136720.167164213024080,,1.256631711334323,1.273239544735163,1.273239544735163,1,1004,2,1004,PEABODY,229,N,229,1205,1004,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,2,6947.337039132808059,2061055.826400568010285,0,0,1,0,0,4,1.256631711334320,1.273239544735160
1005,0,0,0,PEABODY,229,N,1206,0,1005,1,3,4,PEABODY,229,N,1206,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,7639.534214832681755,2561939.270074344705790,1,1206,1206,,PEABODY,0,0,0,5055.913399325487262,2034180.041791053256020,8,2,0,10111.826798650974524,8136720.167164213024080,,0.000000000000000,2.546479089470326,0.000000000000000,0,1005,2,1005,PEABODY,229,N,229,1206,1005,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,2,7639.534214832681755,2561939.270074344705790,0,0,0,2,0,8,0.000000000000000,2.546479089470330
1006,0,2,0,QUINCY,243,N,1120,0,1006,5,37,9,QUINCY,243,N,1120,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,3787.594040390376904,858099.762767820386216,1,1120,1120,1,QUINCY,11,1,0,5055.913399325487262,2034180.041791053256020,51,2,2,10111.826798650974524,8136720.167164213024080,,21.127982501147457,16.233804195373324,14.005634992086790,7,1006,4,1006,QUINCY,243,N,243,1120,1006,8046.736093472188259,Massachusetts School of Barbering, ,58 Ross Way,Quincy,02169, ,QUINCY,(617) 770-4444,http://www.massschoolofbarbering.com,166805,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,Barbering/Barber,Suburb: Large,No,nces.ed.gov,55,GISDATA.COLLEGES_PT.72,Massachusetts School of Barbering,57,N/A,57,1,42.247194442089409,-71.001589546399856,3-Massachusetts School of Barbering,50559.133993256335089,203418004.179117113351822,4,3787.594040390376904,858099.762767820386216,1,0,11,2,2,51,14.005634992086801,16.233804195373299
1007,0,1,0,PEABODY,229,N,1207,0,1007,2,5,3,PEABODY,229,N,1207,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,7181.425287946051867,2243762.071095261722803,1,1207,1207,,PEABODY,2,0,0,5055.913399325487262,2034180.041791053256020,10,0,0,10111.826798650974524,8136720.167164213024080,,1.154306039686758,3.183098861837907,2.546479089470326,1,1007,2,1007,PEABODY,229,N,229,1207,1007,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,2,7181.425287946051867,2243762.071095261722803,0,0,1,0,0,10,1.154306039686760,3.183098861837910
1008,2,0,1,PEABODY,229,N,1208,1,1008,3,4,1,PEABODY,229,N,1208,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,7136.642323381857750,1816158.454013860551640,1,1208,1208,,PEABODY,2,0,0,5055.913399325487262,2034180.041791053256020,8,0,0,10111.826798650974524,8136720.167164213024080,,4.278241424190559,2.546479089470326,2.546479089470326,3,1008,2,1008,PEABODY,229,N,229,1208,1008,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,2,7136.642323381857750,1816158.454013860551640,0,0,2,0,0,8,2.546479089470330,2.546479089470330
1009,0,1,0,PEABODY,229,N,1209,0,1009,7,19,6,PEABODY,229,N,1209,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,5747.414540634103105,1624135.978861175011843,1,1209,1209,,PEABODY,8,1,0,5055.913399325487262,2034180.041791053256020,31,1,0,10111.826798650974524,8136720.167164213024080,,4.784060221548792,9.867606471697512,10.185916357881302,3,1009,2,1009,PEABODY,229,N,229,1209,1009,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,2,5747.414540634103105,1624135.978861175011843,1,0,8,1,0,31,10.185916357881300,9.867606471697510
1010,0,2,0,DANVERS,71,N,1245,0,1010,0,2,2,DANVERS,71,N,1245,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,9698.131046201602658,4570040.595830637961626,1,1245,1245,,DANVERS,0,0,0,5055.913399325487262,2034180.041791053256020,4,1,0,10111.826798650974524,8136720.167164213024080,,1.133463940188294,1.273239544735163,0.000000000000000,2,1010,1,1010,DANVERS,71,N,71,1245,1010,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,9698.131046201602658,4570040.595830637961626,0,0,2,1,0,4,1.133463940188290,1.273239544735160
1011,0,1,1,DANVERS,71,N,1246,0,1011,0,4,1,DANVERS,71,N,1246,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,7581.813135231312117,2105367.096387512050569,1,1246,1246,,DANVERS,1,0,0,5055.913399325487262,2034180.041791053256020,5,0,0,10111.826798650974524,8136720.167164213024080,,2.460367234511599,1.591549430918954,1.273239544735163,2,1011,1,1011,DANVERS,71,N,71,1246,1011,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,7581.813135231312117,2105367.096387512050569,0,0,2,0,0,5,2.460367234511600,1.591549430918950
1012,0,1,0,DANVERS,71,N,1247,0,1012,0,9,3,DANVERS,71,N,1247,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,3406.629465747507311,584462.622125123743899,1,1247,1247,,DANVERS,2,0,0,5055.913399325487262,2034180.041791053256020,12,0,0,10111.826798650974524,8136720.167164213024080,,4.431400764120810,3.819718634205488,2.546479089470326,1,1012,1,1012,DANVERS,71,N,71,1247,1012,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,3406.629465747507311,584462.622125123743899,0,0,2,0,0,12,2.546479089470330,3.819718634205490
1013,0,3,0,DANVERS,71,N,1248,0,1013,3,5,0,DANVERS,71,N,1248,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,8948.953383508023762,2783993.991147154010832,1,1248,1248,,DANVERS,2,0,0,5055.913399325487262,2034180.041791053256020,8,0,0,10111.826798650974524,8136720.167164213024080,,2.790941487504559,2.546479089470326,2.546479089470326,3,1013,1,1013,DANVERS,71,N,71,1248,1013,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,8948.953383508023762,2783993.991147154010832,0,0,3,0,0,8,2.790941487504560,2.546479089470330
1014,2,0,0,DANVERS,71,N,1249,0,1014,4,4,2,DANVERS,71,N,1249,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,5805.123625544833885,1663830.773592374520376,1,1249,1249,,DANVERS,1,0,0,5055.913399325487262,2034180.041791053256020,10,1,1,10111.826798650974524,8136720.167164213024080,,3.113283095123062,3.183098861837907,1.273239544735163,2,1014,1,1014,DANVERS,71,N,71,1249,1014,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,5805.123625544833885,1663830.773592374520376,0,0,1,1,1,10,1.273239544735160,3.183098861837910
1015,0,9,3,PEABODY,229,N,1210,1,1015,7,23,5,PEABODY,229,N,1210,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,3276.683425407583400,407674.422630545624997,1,1210,1210,1,PEABODY,23,1,0,5055.913399325487262,2034180.041791053256020,34,2,0,10111.826798650974524,8136720.167164213024080,,95.296195929091837,10.822536130248883,29.284509528908742,15,1015,3,1015,PEABODY,229,N,229,1210,1015,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,3,3276.683425407583400,407674.422630545624997,1,0,23,2,0,34,29.284509528908700,10.822536130248899
1016,2,6,1,PEABODY,229,N,1211,1,1016,6,27,6,PEABODY,229,N,1211,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,3181.327442167406389,402896.436811580439098,1,1211,1211,,PEABODY,27,1,0,5055.913399325487262,2034180.041791053256020,38,2,0,10111.826798650974524,8136720.167164213024080,,102.854743746331820,12.095775674984045,34.377467707849391,16,1016,4,1016,PEABODY,229,N,229,1211,1016,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,4,3181.327442167406389,402896.436811580439098,1,0,27,2,0,38,34.377467707849398,12.095775674984001
1017,1,4,0,PEABODY,229,N,1212,1,1017,6,25,5,PEABODY,229,N,1212,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,4807.646007323281992,950120.873619078542106,1,1212,1212,,PEABODY,9,0,0,5055.913399325487262,2034180.041791053256020,35,2,0,10111.826798650974524,8136720.167164213024080,,13.629782179291961,11.140846016432674,11.459155902616464,5,1017,3,1017,PEABODY,229,N,229,1212,1017,8046.736093472188259,Endicott College, ,376 Hale Street,Beverly,01915, ,BEVERLY,(978) 927-0585,http://www.endicott.edu,165699,PRI,"4-year, Private not-for-profit",Liberal Arts College,"C, A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship, ,Suburb: Large,Yes,nces.ed.gov,28,GISDATA.COLLEGES_PT.214,Endicott College,N/A,1691,1691,1,42.553369011018816,-70.843340953306253,81-Endicott College,50559.133993256335089,203418004.179117113351822,3,4807.646007323281992,950120.873619078542106,0,0,9,2,0,35,11.459155902616500,11.140846016432700
1018,0,1,1,PEABODY,229,N,1215,0,1018,0,4,3,PEABODY,229,N,1215,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,5270.817410200317681,866672.494279624079354,1,1215,1215,,PEABODY,5,0,0,5055.913399325487262,2034180.041791053256020,7,0,0,10111.826798650974524,8136720.167164213024080,,8.965283174602598,2.228169203286535,6.366197723675814,3,1018,3,1018,PEABODY,229,N,229,1215,1018,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,3,5270.817410200317681,866672.494279624079354,0,0,5,0,0,7,6.366197723675810,2.228169203286540
1019,1,0,0,PEABODY,229,N,1216,0,1019,5,14,6,PEABODY,229,N,1216,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,3687.384715557762320,551094.489707299857400,1,1216,1216,,PEABODY,3,0,0,5055.913399325487262,2034180.041791053256020,24,3,0,10111.826798650974524,8136720.167164213024080,,4.699716942662471,7.639437268410976,3.819718634205488,1,1019,3,1019,PEABODY,229,N,229,1216,1019,8046.736093472188259,North Shore Community College (Lynn Campus),Lynn Campus,300 Broad Street,Lynn,01901, ,LYNN,(781) 593-6722,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,63,GISDATA.COLLEGES_PT.195,North Shore Community College (Lynn Campus),2694,N/A,2694,1,42.460725858803713,-70.944107794058993,47-North Shore Community College (Lynn Campus),50559.133993256335089,203418004.179117113351822,3,3687.384715557762320,551094.489707299857400,0,0,3,3,0,24,3.819718634205490,7.639437268410980
1020,1,1,2,DANVERS,71,N,1250,1,1020,3,5,2,DANVERS,71,N,1250,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,5350.143002169030296,1524308.077977970242500,1,1250,1250,1,DANVERS,4,1,1,5055.913399325487262,2034180.041791053256020,10,1,1,10111.826798650974524,8136720.167164213024080,1,6.796495138229552,3.183098861837907,5.092958178940651,4,1020,1,1020,DANVERS,71,N,71,1250,1020,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,5350.143002169030296,1524308.077977970242500,1,1,4,1,1,10,5.092958178940650,3.183098861837910
1021,2,3,4,QUINCY,243,N,1106,1,1021,7,19,12,QUINCY,243,N,1106,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,2708.761186764290414,392394.571941867296118,1,1106,1106,4,QUINCY,20,6,0,5055.913399325487262,2034180.041791053256020,38,6,1,10111.826798650974524,8136720.167164213024080,,66.004687513083937,12.095775674984045,25.464790894703256,10,1021,7,1021,QUINCY,243,N,243,1106,1021,8046.736093472188259,Massachusetts School of Barbering, ,58 Ross Way,Quincy,02169, ,QUINCY,(617) 770-4444,http://www.massschoolofbarbering.com,166805,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,Barbering/Barber,Suburb: Large,No,nces.ed.gov,55,GISDATA.COLLEGES_PT.72,Massachusetts School of Barbering,57,N/A,57,1,42.247194442089409,-71.001589546399856,3-Massachusetts School of Barbering,50559.133993256335089,203418004.179117113351822,7,2708.761186764290414,392394.571941867296118,6,0,20,6,1,38,25.464790894703299,12.095775674984001
1022,0,1,1,MIDDLETON,184,N,1252,0,1022,0,3,1,MIDDLETON,184,N,1252,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,12814.164628466707654,5469554.890871005132794,1,1252,1252,,MIDDLETON,1,0,0,5055.913399325487262,2034180.041791053256020,4,0,0,10111.826798650974524,8136720.167164213024080,,1.894112527955911,1.273239544735163,1.273239544735163,4,1022,1,1022,MIDDLETON,184,N,184,1252,1022,8046.736093472188259,North Shore Community College (Danvers Campus),Danvers,1 Ferncroft Road,Danvers,01923, ,DANVERS,(978) 762-4000,http://www.northshore.edu,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,nces.ed.gov,64,GISDATA.COLLEGES_PT.219,North Shore Community College (Danvers Campus),2694,N/A,2694,1,42.590076271878971,-70.968714782148211,82-North Shore Community College (Danvers Campus),50559.133993256335089,203418004.179117113351822,1,12814.164628466707654,5469554.890871005132794,0,0,4,0,0,4,1.894112527955910,1.273239544735160
1023,0,1,0,PEABODY,229,N,1219,0,1023,3,17,6,PEABODY,229,N,1219,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,6294.112190866636411,1751956.036685791565105,1,1219,1219,,PEABODY,1,0,0,5055.913399325487262,2034180.041791053256020,26,4,0,10111.826798650974524,8136720.167164213024080,,1.478340812241418,8.276057040778557,1.273239544735163,1,1023,3,1023,PEABODY,229,N,229,1219,1023,8046.736093472188259,Endicott College, ,376 Hale Street,Beverly,01915, ,BEVERLY,(978) 927-0585,http://www.endicott.edu,165699,PRI,"4-year, Private not-for-profit",Liberal Arts College,"C, A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship, ,Suburb: Large,Yes,nces.ed.gov,28,GISDATA.COLLEGES_PT.214,Endicott College,N/A,1691,1691,1,42.553369011018816,-70.843340953306253,81-Endicott College,50559.133993256335089,203418004.179117113351822,3,6294.112190866636411,1751956.036685791565105,0,0,1,4,0,26,1.273239544735160,8.276057040778561
